brand,dealer_number,dealer_name,address,city,state_region,country,country_code,postal_code,latitude,longitude,phone,fax,email,website,dealer_type,services_offered,super_region,region,sap_number
Case IH,CSAG-DEU-047200-57,Stehle Stefan Landtechnik,Greutweg 25,Blitzenreute,,Germany,DE,88273 Fronreute,47.86213,9.59528,,,,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-047200-57,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127859
Case IH,CSAG-DEU-044250-296,GMA Hermannsburg,Am Kumpenkamp 1-3,Hermannsburg,,Germany,DE,29320,52.82401,10.08203,0049 5052 912413,0049 5052 912410,Buescher@gmahermannsburg.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-296,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-277,Andre Gansler Landmaschinen,Celler Str. 14,Hohne,,Germany,DE,29362,52.59273,10.36201,0049 171 9644242,,info@gansler-landmaschinen.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-277,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-273,Dieter Hemker Land- & Gartentechnik,Loccumer Str. 4,Leese,,Germany,DE,31633,52.50491,9.11561,0049 5761 2203,,info@hemker-landtechnik.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-273,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-282,Franz Josef Albacht,Suedlohner Weg 1A,Lohne,,Germany,DE,49393,52.63933,8.2437,0049 4442 921450,,josef.albacht@t-online.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-282,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-290,Sven Glockentoeger,Hauptstr. 9,Lutter- Nauen,,Germany,DE,38729,51.97792,10.23382,0049 5383 418,,info@landmaschinen-glockentoeger.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-290,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-047200-59,Matthias Graus,Obereschring 2,Mengen,,Germany,DE,88512,48.04207,9.31889,0049 7572 7693185,0049 7572 7693186,matthias@graus-landtechnik.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-047200-59,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Germany,127859
Case IH,CSAG-DEU-044250-272,Ernst Biewig Landmaschinen Inh. Cord Biewig,Bahnhofstr. 2,Rethem,,Germany,DE,27336,52.78499,9.37901,0049 5165 2914376,,c.biewig@t-online.de,http://www.caseih.com/emea/de-de/pages/dealer-landing-page.aspx?idDealer=CSAG-DEU-044250-272,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-278,Schmidt Landmaschinen GmbH & Co KG,HANSENER STR. 22,UELZEN-HANSEN,,Germany,DE,29525,52.94844,10.48253,0581 97127990,0581 97127991,he.schmidt@schmidt-landmaschinen.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-278,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-286,Rolf Kinzel Ersatzteilhandel,Alter Weg 5 A,Wienhausen- Offensen,,Germany,DE,29342,52.57709,10.22686,0049 5149 8814,,kinzellandmaschinen@t-online.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-286,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-047200-58,Matthias Dudik,Bierstetter Straße 4,Allmannsweiler,LK Biberach,Germany,DE,88348,48.02853,9.59399,0049 7582 8528,0049 7582 1606,mail@landtechnik-dudik.de,https://www.caseih.com/de-de/germany/tools-und-anwendungen/handler-suchen/{dealer-Id}CSAG-DEU-047200-58,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Germany,127859
Case IH,CSAG-DEU-044250-90,Wilhelm Renzelmann Landmaschinen,Rickerstr. 24,Wagenfeld-Ströhen,LK Diepholz,Germany,DE,49419,52.52498,8.71507,0049 5774 310,0049 5774 1417,wrenzelmann@t-online.de,http://www.caseih.com/emea/de-de/pages/dealer-landing-page.aspx?idDealer=CSAG-DEU-044250-90,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-61,Schmidt Landmaschinen GmbH & Co KG,Schulstr. 2,Obernholz-Steimke,LK Gifhorn,Germany,DE,29386,52.74591,10.601,0049 58321759,00 49 58 32 18 80,info@schmidt-landmaschinen.de,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-61,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-81,Walter Schulze Landmaschinen,Schwiepke 23,Kuesten,LK Lüchow-Dannenberg,Germany,DE,29482,52.9587,11.04687,0049 5843 604,0049 5843 1338,info@schulze-schwiepke.de,http://www.caseih.com/emea/de-de/pages/dealer-landing-page.aspx?idDealer=CSAG-DEU-044250-81,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-57,Heinrich Meyer Inh. Marlene Meyer,Hauptstrasse 4,Wietzendorf,LK Soltau-Fallingbostel,Germany,DE,29649,52.92002,9.97528,0049 5196 9639339,0049 5196 9630,mlandmaschinen@aol.com,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DEU-044250-57,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DEU-044250-88,ASM Agrarservice Magdeburg GmbH,Nordstraße 52,Magdeburg,SK Magdeburg,Germany,DE,39130,52.16007,11.56345,0049 39172 71080,0049 39172 71285,asm-m@t-online.de,http://www.caseih.com/emea/de-de/pages/dealer-landing-page.aspx?idDealer=CSAG-DEU-044250-88,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Germany,127800
Case IH,CSAG-DNK-020210-95,FROST TRAKTOR & MASKINSERVICE V/HANS JØRGEN FROST,Tornhøjvej 7,Aabenraa,,Denmark,DK,6200,54.97191,9.5053,0045 74685157,,mf@frosttraktor.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020210-95,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,126201
Case IH,CSAG-DNK-020190-02,S.D. Kjærsgaard A/S Frejlev,Nibevej 335,Aalborg SV,,Denmark,DK,9200,57.00592,9.813,0045 70225700,,info@sdk.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020190-02,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,122628
Case IH,CSAG-DNK-175894-01,YSM Farre,Ågade 49,Give,,Denmark,DK,7323,55.80285,9.25174,0045 75666910,,info@ysm.dk,https://www.caseih.com/da/denmark/vaerktoj-og-ressourcer/find-forhandler/{dealer-Id}CSAG-DNK-175894-01,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,175894
Case IH,CSAG-DNK-020150-00,Flemløse Maskinforretning ApS,Springenbjergvej 15,Glamsbjerg,,Denmark,DK,5620,55.29214,10.08035,00 4564721174,00 4564721112,ma@caseih-fyn.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020150-00,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,126202
Case IH,CSAG-DNK-144187-01,Maskincentrum Grindsted A/S,Grindsted Landevej 26,Grindsted,,Denmark,DK,7200,55.76482,8.87363,0045 75322500,,,https://www.caseih.com/da/denmark/vaerktoj-og-ressourcer/find-forhandler/{dealer-Id}CSAG-DNK-144187-01,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,144187
Case IH,CSAG-DNK-020190-01,S.D. Kjærsgaard Østjylland A/S,Sortevej 10,Hornslet,,Denmark,DK,8543,56.30253,10.31417,0045 70225700,0045 86996300,info@sdk.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020190-01,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,122628
Case IH,CSAG-DNK-175894-00,Yding Smedie & Maskiner A/S,Egeskovvej 10,Horsens,,Denmark,DK,8700,55.92508,9.82952,0045 75782230,,info@ysm.dk,https://www.caseih.com/da/denmark/vaerktoj-og-ressourcer/find-forhandler/{dealer-Id}CSAG-DNK-175894-00,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,175894
Case IH,CSAG-DNK-020120-01,Nordvestjysk Traktorservice A/S,Industrivej 26,Hurup Thy,,Denmark,DK,7760,56.75277,8.4363,0045 96181700,0045 96181701,info@nordvestjysk-traktor.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020120-01,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,126189
Case IH,CSAG-DNK-020210-00,Brdr. Holst Sørensen A/S,Obbekærvej 105-107,Ribe,,Denmark,DK,6760,55.32753,8.78193,0045 76884400,0045 75441389,laa@bhsribe.dk,https://www.caseih.com/da/denmark/vaerktoj-og-ressourcer/find-forhandler/{dealer-Id}CSAG-DNK-020210-00,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,126201
Case IH,CSAG-DNK-199694-02,S. D. Kjærsgaards Sakskøbing,Sukkerfabrikken 20,Sakskøbing,,Denmark,DK,4990,54.79726,11.64928,,,,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DNK-199694-02,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,199694
Case IH,CSAG-DNK-175894-98,Samsø Maskinforretning,Bryggervej 1,Samsø,,Denmark,DK,8305,55.83134,10.59539,0045 86596535,0045 86590903,post@olesauto.dk,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DNK-175894-98,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,175894
Case IH,CSAG-DNK-020120-00,Salling Traktorservice A/S,Nyholmvej 14,Skive,,Denmark,DK,7860,56.59653,8.88143,0045 97564322,0045 97564097,info@salling-traktor.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020120-00,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,126189
Case IH,CSAG-DNK-199694-99,Frøslev Maskinforretning,Pilehavevej 14,Store Heddinge,,Denmark,DK,4660,55.29233,12.31883,0045 56501066,0045 56101538,aa@FroslevMaskinforretning.dk,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-DNK-199694-99,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Denmark,199694
Case IH,CSAG-DNK-020130-00,Sørensen og Lynggaard A/S,Fanøvej 7,Viborg,,Denmark,DK,8800,56.45122,9.37167,0045 86629200,0045 86629262,ccs@sogl.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020130-00,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,126204
Case IH,CSAG-DNK-020190-00,S.D. Kjærsgaard A/S,Nordre Ringvej 1,Vrå,,Denmark,DK,9760,57.38715,9.87365,0045 98980400,0045 96377400,info@sdk.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-020190-00,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,122628
Case IH,CSAG-DNK-144187-00,Maskincentrum A/S,Smedegade 3,Aulumn,Denmark,Denmark,DK,7490,56.262,8.79672,0045 96411100,,info@maskincentrum.dk,https://www.caseih.com/da/denmark/vaerktoj-og-ressourcer/find-forhandler/{dealer-Id}CSAG-DNK-144187-00,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,144187
Case IH,CSAG-DNK-199694-00,S.D. Kjærsgaard Sjælland,Knudslund Alle 40,Ringsted,Ringsted,Denmark,DK,4100,55.45445,11.85514,0045 98 34 34 33,,info@sdk.dk,http://www.caseih.com/emea/da-dk/pages/dealer-landing-page.aspx?idDealer=CSAG-DNK-199694-00,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Denmark,199694
Case IH,CSAG-EST-068047-01,AS Dotnuva Baltic - Vahi,Savimäe 7,Vahi,Harju,Estonia,EE,60534,58.4134,26.72236,3726612800,,info@dotnuvabaltic.ee,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-EST-068047-01,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,125849
Case IH,CSAG-EST-068047-10,AS Dotnuva Baltic - Rakvere,"Ringtee 4, Taaravainu",Rakvere,Lääne-Viru,Estonia,EE,44420,59.34932,26.33901,3725037273,,info@dotnuvabaltic.ee,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-EST-068047-10,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,125849
Case IH,CSAG-EST-068047-08,AS Dotnuva Baltic - Viljandi,Tallinna tn 105,Viljandi,Viljandi,Estonia,EE,71018,58.38172,25.59401,3725146636,,info@dotnuvabaltic.ee,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-EST-068047-08,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,125849
Case IH,CSAG-ESP-169650-95,"AGROMECÁNICA MARPA, S.L.","C/ MINA DE LA OSCURIDAD, 29",AZUAGA,,Spain,ES,06920,38.26131,-5.69146,924890783,,agromarpa@gmail.com,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-ESP-169650-95,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Spain,169650
Case IH,CSAG-ESP-017013-00,"Agromecanica Garcia, S.L.",Ctra. Madrid-Soria km. 192,Almazan,,Spain,ES,42200,41.48061,-2.5289,0034 975300176,0034 975300943,info@garciamaquinaria.com,http://www.caseih.com/emea/es-es/pages/dealer-landing-page.aspx?idDealer=CSAG-ESP-017013-00,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Spain,127701
Case IH,CSAG-ESP-541532-12,Agnia Agrocapital S.L. - Burgos,"Ctra. Madrid-Irún, km. 236",Burgos,,Spain,ES,09001,42.32061,-3.70177,,,,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-ESP-541532-12,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Spain,541532
Case IH,CSAG-ESP-017035-00,"Talleres Cargo, S.L.","Haro, 22",Castañares De Rioja,,Spain,ES,26240,42.52949,-2.9218,0034 941300240,0034 941300285,info@tallerescargo.com,https://www.caseih.com/es-es/spain/herramientas-y-recursos/buscar-un-concesionario/CSAG-ESP-017035-00,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Spain,127672
